36,42,86,160,252,393,569,792,1083,1424
28,113,326,776,1594,2864,4601,7188,10989,16057
61,373,1382,3858,9224,18920,36163,64493,107411,169283
118,1069,5312,18957,54089,132210,287555,573519,1067362,1875167
256,3264,21603,95929,328417,936710,2312205,5190652,10711012,20630373
500,9797,86188,478741,1960637,6511531,18536327,46736213,104967621,218428047
